time,x,y,z
2.824,-0.46,0.48,-0.06
2.829,-0.48,0.48,-0.13
2.835,-0.50,0.47,-0.28
2.840,-0.47,0.49,-0.34
2.844,-0.47,0.42,-0.22
2.849,-0.49,0.37,-0.27
2.858,-0.49,0.29,-0.12
2.865,-0.46,0.23,-0.06
2.866,-0.48,0.12,0.20
2.870,-0.56,0.07,0.36
2.875,-0.57,0.03,0.61
2.880,-0.58,0.02,0.88
2.886,-0.48,-0.06,1.06
2.892,-0.38,-0.09,1.23
2.895,-0.31,-0.06,1.47
2.900,-0.30,-0.05,1.51
2.907,-0.28,-0.07,1.46
2.910,-0.25,-0.09,1.27
2.915,-0.11,-0.13,1.05
2.920,-0.04,-0.16,1.01
2.925,-0.08,-0.18,0.89
2.931,-0.08,-0.18,0.84
2.937,-0.10,-0.20,0.87
2.942,-0.17,-0.16,0.93
2.945,-0.26,-0.13,0.81
2.950,-0.40,-0.07,0.68
2.957,-0.43,0.04,0.41
2.960,-0.35,0.13,0.10
2.965,-0.16,0.29,-0.16
2.970,0.03,0.35,-0.33
2.975,0.28,0.35,-0.39
2.981,0.59,0.41,-0.47
2.985,0.73,0.31,-0.48
2.994,0.85,0.15,-0.40
2.997,0.87,-0.18,-0.13
3.000,0.81,-0.56,0.30
3.005,0.73,-0.86,0.85
3.010,0.55,-1.17,1.54
3.015,0.40,-1.56,2.16
3.020,0.18,-1.85,2.76
3.025,0.01,-2.07,3.26
3.030,-0.22,-2.21,3.55
3.035,-0.41,-2.36,3.72
3.041,-0.57,-2.46,3.86
3.045,-0.68,-2.40,3.62
3.050,-0.69,-2.30,3.34
3.055,-0.68,-2.21,2.78
3.060,-0.63,-2.09,2.05
3.065,-0.47,-1.88,1.15
3.070,-0.31,-1.56,0.18
3.075,-0.20,-1.21,-0.74
3.080,-0.06,-0.94,-1.56
3.085,0.05,-0.73,-2.22
3.091,0.14,-0.50,-2.73
3.095,0.25,-0.41,-2.94
3.101,0.30,-0.25,-2.77
3.106,0.27,-0.18,-2.61
3.111,0.23,-0.18,-2.46
3.115,0.25,-0.25,-2.20
3.123,0.34,-0.31,-1.92
3.126,0.49,-0.39,-1.54
3.130,0.61,-0.50,-1.00
3.135,0.70,-0.64,-0.50
3.145,0.83,-0.79,-0.13
3.146,0.90,-1.02,0.03
3.151,1.01,-1.08,0.33
3.156,1.11,-1.23,0.40
3.162,1.03,-1.26,0.56
3.166,0.97,-1.27,0.67
3.171,0.85,-1.25,0.75
3.176,0.72,-1.26,0.67
3.181,0.53,-1.18,0.53
3.186,0.30,-1.13,0.35
3.191,0.12,-1.17,-0.09
3.196,0.07,-1.11,-0.38
3.201,0.01,-1.08,-0.67
3.207,-0.04,-1.02,-0.77
3.211,-0.15,-0.98,-0.85
3.216,-0.33,-0.91,-0.83
3.221,-0.45,-0.90,-0.70
3.229,-0.49,-0.73,-0.72
3.231,-0.47,-0.62,-0.75
3.236,-0.41,-0.57,-0.78
3.241,-0.34,-0.48,-0.78
3.246,-0.26,-0.36,-0.87
3.253,-0.17,-0.27,-1.01
3.258,-0.08,-0.20,-1.24
3.261,0.05,-0.12,-1.23
3.266,0.13,0.00,-1.31
3.271,0.28,0.06,-1.52
3.280,0.45,0.05,-1.65
3.286,0.64,0.06,-1.70
3.287,0.80,0.09,-1.68
3.292,0.72,0.11,-1.51
3.303,0.61,0.09,-1.20
3.304,0.53,0.03,-0.91
3.333,0.47,-0.03,-0.67
3.333,0.41,-0.07,-0.41
3.334,0.41,-0.07,-0.25
3.335,0.28,-0.11,-0.11
3.336,0.27,-0.13,0.01
3.337,0.31,-0.16,0.14
3.338,0.29,-0.12,0.13
3.343,0.26,-0.18,0.11
3.347,0.31,-0.12,-0.03
3.352,0.29,-0.04,-0.13
3.357,0.33,-0.01,-0.26
3.363,0.40,0.05,-0.32
3.367,0.41,0.07,-0.41
3.372,0.45,0.09,-0.38
3.380,0.51,0.10,-0.34
3.382,0.58,0.13,-0.37
3.387,0.69,0.20,-0.49
3.392,0.80,0.21,-0.55
3.398,0.86,0.27,-0.54
3.403,0.89,0.26,-0.52
3.407,0.81,0.32,-0.49
3.432,0.71,0.37,-0.38
3.433,0.63,0.40,-0.37
3.434,0.61,0.44,-0.26
3.435,0.58,0.43,-0.10
3.435,0.48,0.46,-0.17
3.437,0.47,0.45,-0.22
3.442,0.39,0.44,-0.22
3.448,0.44,0.35,-0.17
3.455,0.44,0.36,-0.10
3.457,0.44,0.33,0.08
3.463,0.36,0.24,0.21
3.467,0.31,0.22,0.32
3.472,0.31,0.14,0.33
3.477,0.33,0.07,0.34
3.482,0.35,0.04,0.31
3.487,0.36,-0.06,0.49
3.492,0.41,-0.06,0.63
3.497,0.42,-0.10,0.82
3.502,0.49,-0.17,0.98
3.507,0.47,-0.23,1.06
3.520,0.44,-0.33,1.06
3.568,0.43,-0.37,1.02
